 1   !! number of vertical layers
 0   ! vertical depth of climatology
      JDAY  MM  DD   TEMP   SALT JDAY=0 FOR JAN 01
   184.0    7    3   14.15  33.20
   185.0    7    4   14.17  33.20
   186.0    7    5   14.18  33.20
   187.0    7    6   14.26  33.20
   188.0    7    7   14.38  33.20
   189.0    7    8   14.44  33.20
   190.0    7    9   14.48  33.20
   191.0    7   10   14.53  33.20
   192.0    7   11   14.49  33.20
   193.0    7   12   14.43  33.20
   194.0    7   13   14.40  33.20
   195.0    7   14   14.38  33.20
   196.0    7   15   14.38  33.20
   197.0    7   16   14.40  33.20
   198.0    7   17   14.49  33.20
   199.0    7   18   14.61  33.20
   200.0    7   19   14.69  33.20
   201.0    7   20   14.76  33.20
   202.0    7   21   14.76  33.20
   203.0    7   22   14.77  33.20
   204.0    7   23   14.73  33.20
   205.0    7   24   14.71  33.20
   206.0    7   25   14.79  33.20
   207.0    7   26   14.78  33.20
   208.0    7   27   14.79  33.20
   209.0    7   28   14.81  33.20
   210.0    7   29   14.88  33.20
   211.0    7   30   15.00  33.20
   212.0    7   31   15.11  33.20
   213.0    8    1   15.16  33.20
   214.0    8    2   15.21  33.20
   215.0    8    3   15.20  33.20
   216.0    8    4   15.23  33.20
   217.0    8    5   15.28  33.20
   218.0    8    6   15.36  33.20
   219.0    8    7   15.38  33.20
   220.0    8    8   15.40  33.20
   221.0    8    9   15.36  33.20
   222.0    8   10   15.29  33.20
   223.0    8   11   15.14  33.20
   224.0    8   12   15.15  33.20
   225.0    8   13   15.23  33.20
   226.0    8   14   15.26  33.20
   227.0    8   15   15.28  33.20
   228.0    8   16   15.25  33.20
   229.0    8   17   15.21  33.20
   230.0    8   18   15.22  33.20
   231.0    8   19   15.18  33.20
   232.0    8   20   15.16  33.20
   233.0    8   21   15.16  33.20
   234.0    8   22   15.16  33.20
   235.0    8   23   15.13  33.20
   236.0    8   24   15.10  33.20
   237.0    8   25   15.10  33.20
   238.0    8   26   15.09  33.20
   239.0    8   27   15.15  33.20
   240.0    8   28   15.25  33.20
   241.0    8   29   15.28  33.20
   242.0    8   30   15.21  33.20
   243.0    8   31   15.16  33.20
   244.0    9    1   15.16  33.20
   245.0    9    2   15.22  33.20
   246.0    9    3   15.21  33.20
   247.0    9    4   15.16  33.20
   248.0    9    5   15.14  33.20
   249.0    9    6   15.17  33.20
   250.0    9    7   15.21  33.20
   251.0    9    8   15.15  33.20
   252.0    9    9   15.11  33.20
   253.0    9   10   15.10  33.20
   254.0    9   11   15.10  33.20
   255.0    9   12   15.11  33.20
   256.0    9   13   15.13  33.20
   257.0    9   14   15.18  33.20
   258.0    9   15   15.23  33.20
   259.0    9   16   15.28  33.20
   260.0    9   17   15.34  33.20
   261.0    9   18   15.39  33.20
   262.0    9   19   15.42  33.20
   263.0    9   20   15.44  33.20
   264.0    9   21   15.42  33.20
   265.0    9   22   15.32  33.20
   266.0    9   23   15.27  33.20
   267.0    9   24   15.22  33.20
   268.0    9   25   15.21  33.20
   269.0    9   26   15.20  33.20
   270.0    9   27   15.22  33.20
   271.0    9   28   15.18  33.20
   272.0    9   29   15.17  33.20
   273.0    9   30   15.18  33.20
   274.0   10    1   15.12  33.20
   275.0   10    2   15.12  33.20
   276.0   10    3   15.07  33.20
   277.0   10    4   14.92  33.20
   278.0   10    5   14.85  33.20
   279.0   10    6   14.83  33.20
   280.0   10    7   14.83  33.20
   281.0   10    8   14.85  33.20
   282.0   10    9   14.87  33.20
   283.0   10   10   14.92  33.20
   284.0   10   11   14.87  33.20
   285.0   10   12   14.81  33.20
   286.0   10   13   14.81  33.20
   287.0   10   14   14.82  33.20
   288.0   10   15   14.92  33.20
   289.0   10   16   14.95  33.20
   290.0   10   17   14.97  33.20
   291.0   10   18   14.98  33.20
   292.0   10   19   14.97  33.20
   293.0   10   20   14.92  33.20
   294.0   10   21   14.86  33.20
   295.0   10   22   14.80  33.20
   296.0   10   23   14.74  33.20
   297.0   10   24   14.72  33.20
   298.0   10   25   14.69  33.20
   299.0   10   26   14.72  33.20
   300.0   10   27   14.70  33.20
   301.0   10   28   14.68  33.20
   302.0   10   29   14.54  33.20
   303.0   10   30   14.43  33.20
   304.0   10   31   14.39  33.20
   305.0   11    1   14.35  33.20
   306.0   11    2   14.33  33.20
   307.0   11    3   14.26  33.20
   308.0   11    4   14.22  33.20
   309.0   11    5   14.20  33.20
   310.0   11    6   14.16  33.20
   311.0   11    7   14.10  33.20
   312.0   11    8   14.01  33.20
   313.0   11    9   13.95  33.20
   314.0   11   10   13.85  33.20
   315.0   11   11   13.76  33.20
   316.0   11   12   13.67  33.20
   317.0   11   13   13.57  33.20
   318.0   11   14   13.50  33.20
