 1   !! number of vertical layers
 0   ! vertical depth of climatology
    JDAY  MM  DD   TEMP   SALT JDAY=0 FOR JAN 01
      .0    1    1   11.18   33.20
     1.0    1    2   11.09   33.20
     2.0    1    3   11.27   33.20
     3.0    1    4   11.38   33.20
     4.0    1    5   11.36   33.20
     5.0    1    6   11.18   33.20
     6.0    1    7   11.08   33.20
     7.0    1    8   11.27   33.20
     8.0    1    9   11.23   33.20
     9.0    1   10   11.01   33.20
    10.0    1   11   10.76   33.20
    11.0    1   12   10.68   33.20
    12.0    1   13   10.81   33.20
    13.0    1   14   10.98   33.20
    14.0    1   15   11.13   33.20
    15.0    1   16   10.98   33.20
    16.0    1   17   10.96   33.20
    17.0    1   18   11.15   33.20
    18.0    1   19   11.10   33.20
    19.0    1   20   11.28   33.20
    20.0    1   21   11.26   33.20
    21.0    1   22   11.27   33.20
    22.0    1   23   11.30   33.20
    23.0    1   24   11.32   33.20
    24.0    1   25   11.52   33.20
    25.0    1   26   11.70   33.20
    26.0    1   27   11.52   33.20
    27.0    1   28   11.60   33.20
    28.0    1   29   11.40   33.20
    29.0    1   30   11.29   33.20
    30.0    1   31   11.48   33.20
    31.0    2    1   11.57   33.20
    32.0    2    2   11.56   33.20
    33.0    2    3   11.66   33.20
    34.0    2    4   11.52   33.20
    35.0    2    5   11.57   33.20
    36.0    2    6   11.73   33.20
    37.0    2    7   11.71   33.20
    38.0    2    8   11.38   33.20
    39.0    2    9   11.19   33.20
    40.0    2   10   11.22   33.20
    41.0    2   11   11.49   33.20
    42.0    2   12   11.69   33.20
    43.0    2   13   11.70   33.20
    44.0    2   14   11.61   33.20
    45.0    2   15   11.74   33.20
    46.0    2   16   11.58   33.20
    47.0    2   17   11.56   33.20
    48.0    2   18   11.26   33.20
    49.0    2   19   10.82   33.20
    50.0    2   20   10.69   33.20
    51.0    2   21   11.05   33.20
    52.0    2   22   11.38   33.20
    53.0    2   23   11.23   33.20
    54.0    2   24   11.19   33.20
    55.0    2   25   11.27   33.20
    56.0    2   26   10.88   33.20
    57.0    2   27   10.92   33.20
    58.0    2   28   10.94   33.20
    59.0    2   29    9.29   33.20
    60.0    3    1   11.17   33.20
    61.0    3    2   11.42   33.20
    62.0    3    3   11.72   33.20
    63.0    3    4   11.65   33.20
    64.0    3    5   11.98   33.20
    65.0    3    6   11.40   33.20
    66.0    3    7   11.19   33.20
    67.0    3    8   11.26   33.20
    68.0    3    9   11.04   33.20
    69.0    3   10   11.00   33.20
    70.0    3   11   11.16   33.20
    71.0    3   12   11.27   33.20
    72.0    3   13   11.39   33.20
    73.0    3   14   11.55   33.20
    74.0    3   15   11.84   33.20
    75.0    3   16   12.03   33.20
    76.0    3   17   12.06   33.20
    77.0    3   18   11.80   33.20
    78.0    3   19   11.54   33.20
    79.0    3   20   11.72   33.20
    80.0    3   21   12.09   33.20
    81.0    3   22   12.09   33.20
