1   !! number of vertical layers
0   ! vertical depth of climatology
  JDAY  MM  DD    TEMP    SALT    nontide JDAY=0 FOR JAN 01
    0    1    1   8.989    .000    .461
    1    1    2   8.926    .000    .457
    2    1    3   8.991    .000    .450
    3    1    4   8.913    .000    .446
    4    1    5   8.891    .000    .442
    5    1    6   8.870    .000    .436
    6    1    7   8.833    .000    .439
    7    1    8   8.776    .000    .439
    8    1    9   8.715    .000    .425
    9    1   10   8.680    .000    .421
   10    1   11   8.590    .000    .415
   11    1   12   8.622    .000    .413
   12    1   13   8.750    .000    .410
   13    1   14   8.796    .000    .404
   14    1   15   8.818    .000    .400
   15    1   16   8.791    .000    .396
   16    1   17   8.819    .000    .393
   17    1   18   8.914    .000    .388
   18    1   19   8.988    .000    .383
   19    1   20   9.034    .000    .380
   20    1   21   9.119    .000    .377
   21    1   22   9.155    .000    .374
   22    1   23   9.246    .000    .373
   23    1   24   9.306    .000    .372
   24    1   25   9.361    .000    .370
   25    1   26   9.491    .000    .367
   26    1   27   9.489    .000    .366
   27    1   28   9.410    .000    .365
   28    1   29   9.431    .000    .365
   29    1   30   9.536    .000    .366
   30    1   31   9.644    .000    .367
   31    2    1   9.830    .000    .368
   32    2    2   9.857    .000    .370
   33    2    3   9.956    .000    .372
   34    2    4  10.112    .000    .373
   35    2    5  10.279    .000    .374
   36    2    6  10.428    .000    .372
   37    2    7  10.562    .000    .367
   38    2    8  10.608    .000    .362
   39    2    9  10.626    .000    .358
   40    2   10  10.606    .000    .354
   41    2   11  10.683    .000    .348
   42    2   12  10.775    .000    .342
   43    2   13  10.898    .000    .345
   44    2   14  10.952    .000    .345
   45    2   15  11.075    .000    .342
   46    2   16  11.069    .000    .340
   47    2   17  11.122    .000    .337
   48    2   18  11.127    .000    .335
   49    2   19  10.983    .000    .333
   50    2   20  10.886    .000    .333
   51    2   21  10.936    .000    .296
   52    2   22  11.127    .000    .249
   53    2   23  11.288    .000    .239
   54    2   24  11.348    .000    .232
   55    2   25  11.408    .000    .231
   56    2   26  11.379    .000    .229
   57    2   27  11.322    .000    .228
   58    2   28  11.418    .000    .269
