1   !! number of vertical layers
0   ! vertical depth of climatology
  JDAY  MM  DD    TEMP    SALT    nontide JDAY=0 FOR JAN 01
   59    2   29  11.753    .000    .232
   60    3    1  11.454    .000    .323
   61    3    2  11.616    .000    .330
   62    3    3  11.698    .000    .340
   63    3    4  11.781    .000    .353
   64    3    5  11.976    .000    .364
   65    3    6  12.145    .000    .377
   66    3    7  12.041    .000    .390
   67    3    8  12.164    .000    .404
   68    3    9  12.125    .000    .417
   69    3   10  12.114    .000    .429
   70    3   11  12.222    .000    .439
   71    3   12  12.357    .000    .451
   72    3   13  12.347    .000    .464
   73    3   14  12.479    .000    .451
   74    3   15  12.616    .000    .444
   75    3   16  12.793    .000    .447
   76    3   17  12.982    .000    .452
   77    3   18  13.045    .000    .454
   78    3   19  12.894    .000    .458
   79    3   20  13.040    .000    .462
   80    3   21  13.103    .000    .469
   81    3   22  13.069    .000    .473
   82    3   23  12.902    .000    .468
   83    3   24  12.858    .000    .470
   84    3   25  12.778    .000    .476
   85    3   26  12.861    .000    .481
   86    3   27  12.982    .000    .487
   87    3   28  13.250    .000    .490
   88    3   29  13.545    .000    .498
   89    3   30  13.629    .000    .503
   90    3   31  13.829    .000    .506
   91    4    1  13.970    .000    .508
   92    4    2  14.160    .000    .508
   93    4    3  14.183    .000    .507
   94    4    4  14.287    .000    .506
   95    4    5  14.252    .000    .505
   96    4    6  14.285    .000    .504
   97    4    7  14.365    .000    .501
   98    4    8  14.359    .000    .498
   99    4    9  14.447    .000    .494
  100    4   10  14.412    .000    .490
  101    4   11  14.332    .000    .485
  102    4   12  14.322    .000    .481
  103    4   13  14.370    .000    .477
  104    4   14  14.312    .000    .474
  105    4   15  14.427    .000    .468
  106    4   16  14.783    .000    .461
  107    4   17  15.041    .000    .457
  108    4   18  15.382    .000    .453
  109    4   19  15.715    .000    .451
  110    4   20  16.141    .000    .446
  111    4   21  16.324    .000    .442
  112    4   22  16.601    .000    .442
  113    4   23  16.640    .000    .442
  114    4   24  16.625    .000    .442
  115    4   25  16.662    .000    .440
  116    4   26  16.691    .000    .438
  117    4   27  16.594    .000    .433
  118    4   28  16.390    .000    .429
  119    4   29  16.323    .000    .427
  120    4   30  16.471    .000    .428
  121    5    1  16.553    .000    .429
  122    5    2  16.567    .000    .430
  123    5    3  16.695    .000    .432
  124    5    4  16.835    .000    .431
  125    5    5  17.028    .000    .428
  126    5    6  17.422    .000    .422
  127    5    7  17.571    .000    .421
  128    5    8  17.564    .000    .421
  129    5    9  17.662    .000    .418
  130    5   10  17.716    .000    .416
  131    5   11  17.661    .000    .414
  132    5   12  17.780    .000    .412
  133    5   13  17.797    .000    .410
  134    5   14  17.740    .000    .409
  135    5   15  17.661    .000    .409
  136    5   16  17.772    .000    .410
  137    5   17  17.774    .000    .412
  138    5   18  17.717    .000    .413
  139    5   19  17.737    .000    .415
  140    5   20  17.956    .000    .417
  141    5   21  17.931    .000    .419
  142    5   22  17.724    .000    .420
  143    5   23  17.590    .000    .420
  144    5   24  17.417    .000    .419
  145    5   25  17.195    .000    .421
  146    5   26  17.240    .000    .421
  147    5   27  17.379    .000    .422
  148    5   28  17.516    .000    .424
  149    5   29  17.637    .000    .425
  150    5   30  17.790    .000    .428
  151    5   31  17.920    .000    .431
  152    6    1  18.024    .000    .433
  153    6    2  18.132    .000    .434
  154    6    3  18.328    .000    .436
  155    6    4  18.379    .000    .440
  156    6    5  18.442    .000    .443
  157    6    6  18.490    .000    .444
  158    6    7  18.565    .000    .447
  159    6    8  18.616    .000    .450
  160    6    9  18.606    .000    .452
  161    6   10  18.754    .000    .456
  162    6   11  18.911    .000    .459
  163    6   12  19.164    .000    .462
  164    6   13  19.339    .000    .466
  165    6   14  19.603    .000    .471
  166    6   15  19.760    .000    .476
  167    6   16  19.999    .000    .479
  168    6   17  20.202    .000    .480
  169    6   18  20.108    .000    .481
  170    6   19  20.168    .000    .483
  171    6   20  20.267    .000    .485
  172    6   21  20.359    .000    .489
  173    6   22  20.357    .000    .492
  174    6   23  20.303    .000    .496
  175    6   24  20.205    .000    .498
  176    6   25  20.098    .000    .503
  177    6   26  20.111    .000    .507
  178    6   27  20.355    .000    .511
  179    6   28  20.653    .000    .516
  180    6   29  20.617    .000    .517
  181    6   30  20.728    .000    .516
  182    7    1  20.787    .000    .515
  183    7    2  20.809    .000    .515
  184    7    3  20.990    .000    .512
  185    7    4  21.197    .000    .508
  186    7    5  21.001    .000    .507
  187    7    6  20.758    .000    .506
  188    7    7  20.657    .000    .506
  189    7    8  20.611    .000    .506
  190    7    9  20.606    .000    .508
  191    7   10  20.492    .000    .510
  192    7   11  20.596    .000    .513
  193    7   12  20.600    .000    .521
  194    7   13  20.567    .000    .518
  195    7   14  20.595    .000    .519
  196    7   15  20.672    .000    .520
  197    7   16  20.613    .000    .520
  198    7   17  20.517    .000    .520
  199    7   18  20.640    .000    .521
  200    7   19  20.771    .000    .521
  201    7   20  20.951    .000    .522
  202    7   21  20.965    .000    .521
  203    7   22  20.946    .000    .520
  204    7   23  20.782    .000    .519
  205    7   24  20.596    .000    .518
  206    7   25  20.416    .000    .515
  207    7   26  20.297    .000    .514
  208    7   27  20.232    .000    .514
  209    7   28  20.206    .000    .512
  210    7   29  20.121    .000    .510
  211    7   30  20.094    .000    .510
  212    7   31  20.120    .000    .510
  213    8    1  20.100    .000    .508
  214    8    2  20.075    .000    .508
  215    8    3  20.079    .000    .508
  216    8    4  19.986    .000    .508
  217    8    5  19.964    .000    .508
  218    8    6  19.977    .000    .508
  219    8    7  19.974    .000    .506
  220    8    8  20.140    .000    .503
  221    8    9  20.297    .000    .499
  222    8   10  20.487    .000    .497
  223    8   11  20.473    .000    .496
  224    8   12  20.462    .000    .494
  225    8   13  20.556    .000    .492
  226    8   14  20.538    .000    .490
  227    8   15  20.373    .000    .488
  228    8   16  20.450    .000    .487
  229    8   17  20.443    .000    .486
  230    8   18  20.326    .000    .484
  231    8   19  20.296    .000    .482
  232    8   20  20.170    .000    .481
  233    8   21  20.004    .000    .481
  234    8   22  20.031    .000    .480
  235    8   23  20.116    .000    .479
  236    8   24  20.249    .000    .478
  237    8   25  20.308    .000    .478
  238    8   26  20.301    .000    .475
  239    8   27  20.218    .000    .473
  240    8   28  20.282    .000    .471
  241    8   29  20.326    .000    .469
  242    8   30  20.458    .000    .467
  243    8   31  20.314    .000    .466
  244    9    1  20.235    .000    .466
  245    9    2  20.531    .000    .466
  246    9    3  20.681    .000    .466
  247    9    4  20.625    .000    .465
  248    9    5  20.356    .000    .462
  249    9    6  20.244    .000    .460
  250    9    7  20.240    .000    .461
  251    9    8  20.140    .000    .462
  252    9    9  19.913    .000    .461
  253    9   10  20.045    .000    .459
  254    9   11  20.210    .000    .456
  255    9   12  20.181    .000    .455
  256    9   13  19.972    .000    .453
  257    9   14  19.883    .000    .454
  258    9   15  19.783    .000    .455
  259    9   16  19.738    .000    .457
  260    9   17  19.794    .000    .459
  261    9   18  19.856    .000    .459
  262    9   19  19.910    .000    .459
  263    9   20  19.892    .000    .460
  264    9   21  20.062    .000    .459
  265    9   22  19.987    .000    .458
  266    9   23  20.077    .000    .456
  267    9   24  20.050    .000    .453
  268    9   25  19.950    .000    .451
  269    9   26  19.975    .000    .450
  270    9   27  20.066    .000    .448
  271    9   28  20.201    .000    .445
  272    9   29  20.069    .000    .441
  273    9   30  19.871    .000    .438
  274   10    1  19.768    .000    .437
  275   10    2  19.808    .000    .436
  276   10    3  19.732    .000    .434
  277   10    4  19.233    .000    .433
  278   10    5  18.917    .000    .433
  279   10    6  18.693    .000    .433
  280   10    7  18.566    .000    .430
  281   10    8  18.469    .000    .427
  282   10    9  18.392    .000    .420
  283   10   10  18.360    .000    .424
  284   10   11  18.224    .000    .422
  285   10   12  18.037    .000    .419
  286   10   13  18.044    .000    .417
  287   10   14  18.196    .000    .414
  288   10   15  18.389    .000    .410
  289   10   16  18.484    .000    .405
  290   10   17  18.428    .000    .402
  291   10   18  18.476    .000    .398
  292   10   19  18.366    .000    .391
  293   10   20  18.217    .000    .386
  294   10   21  18.025    .000    .381
  295   10   22  17.872    .000    .378
  296   10   23  17.777    .000    .378
  297   10   24  17.756    .000    .378
  298   10   25  17.561    .000    .376
  299   10   26  17.470    .000    .373
  300   10   27  17.292    .000    .370
  301   10   28  16.886    .000    .367
  302   10   29  16.818    .000    .365
  303   10   30  16.820    .000    .362
  304   10   31  16.813    .000    .358
  305   11    1  16.859    .000    .354
  306   11    2  16.637    .000    .352
  307   11    3  16.636    .000    .351
  308   11    4  16.595    .000    .351
  309   11    5  16.529    .000    .351
  310   11    6  16.389    .000    .353
  311   11    7  16.295    .000    .356
  312   11    8  15.964    .000    .357
  313   11    9  15.588    .000    .358
  314   11   10  15.291    .000    .359
  315   11   11  15.134    .000    .360
  316   11   12  14.928    .000    .361
  317   11   13  14.834    .000    .361
  318   11   14  14.749    .000    .362
  319   11   15  14.697    .000    .361
  320   11   16  14.636    .000    .360
  321   11   17  14.569    .000    .360
  322   11   18  14.477    .000    .363
  323   11   19  14.274    .000    .364
  324   11   20  14.133    .000    .366
  325   11   21  13.887    .000    .368
  326   11   22  13.686    .000    .370
  327   11   23  13.553    .000    .370
  328   11   24  13.326    .000    .371
  329   11   25  13.185    .000    .373
  330   11   26  13.020    .000    .377
  331   11   27  12.934    .000    .383
  332   11   28  12.751    .000    .389
  333   11   29  12.540    .000    .394
  334   11   30  12.454    .000    .398
  335   12    1  12.287    .000    .401
  336   12    2  12.217    .000    .385
  337   12    3  11.985    .000    .405
  338   12    4  11.823    .000    .408
  339   12    5  11.788    .000    .412
  340   12    6  11.686    .000    .415
  341   12    7  11.546    .000    .421
  342   12    8  11.408    .000    .438
  343   12    9  11.199    .000    .433
  344   12   10  11.084    .000    .437
  345   12   11  11.029    .000    .443
  346   12   12  10.949    .000    .449
  347   12   13  10.892    .000    .452
  348   12   14  10.841    .000    .454
  349   12   15  10.750    .000    .459
  350   12   16  10.593    .000    .462
  351   12   17  10.556    .000    .465
  352   12   18  10.482    .000    .466
  353   12   19  10.398    .000    .470
  354   12   20  10.265    .000    .472
  355   12   21  10.241    .000    .473
  356   12   22  10.112    .000    .473
  357   12   23   9.867    .000    .475
  358   12   24   9.703    .000    .476
  359   12   25   9.472    .000    .476
  360   12   26   9.367    .000    .476
  361   12   27   9.389    .000    .475
  362   12   28   9.368    .000    .472
  363   12   29   9.320    .000    .468
  364   12   30   9.233    .000    .465
  365   12   31   9.189    .000    .463
  366    1    1   8.989    .000    .461
  367    1    2   8.926    .000    .457
  368    1    3   8.991    .000    .450
  369    1    4   8.913    .000    .446
  370    1    5   8.891    .000    .442
  371    1    6   8.870    .000    .436
  372    1    7   8.833    .000    .439
  373    1    8   8.776    .000    .439
  374    1    9   8.715    .000    .425
  375    1   10   8.680    .000    .421
