1   !! number of vertical layers
0   ! vertical depth of climatology
  JDAY  MM  DD    TEMP    SALT    nontide JDAY=0 FOR JAN 01
  174    6   23  20.303    1.000    .373
  175    6   24  20.205    1.000    .376
  176    6   25  20.098    1.000    .380
  177    6   26  20.111    1.000    .384
  178    6   27  20.355    1.000    .388
  179    6   28  20.653    1.000    .392
  180    6   29  20.617    1.000    .394
  181    6   30  20.728    1.000    .393
  182    7    1  20.787    1.000    .392
  183    7    2  20.809    1.000    .392
  184    7    3  20.990    1.000    .389
  185    7    4  21.197    1.000    .385
  186    7    5  21.001    1.000    .384
  187    7    6  20.758    1.000    .384
  188    7    7  20.657    1.000    .383
  189    7    8  20.611    1.000    .383
  190    7    9  20.606    1.000    .385
  191    7   10  20.492    1.000    .387
  192    7   11  20.596    1.000    .389
  193    7   12  20.600    1.000    .392
  194    7   13  20.567    1.000    .394
  195    7   14  20.595    1.000    .395
  196    7   15  20.672    1.000    .395
  197    7   16  20.613    1.000    .395
  198    7   17  20.517    1.000    .396
  199    7   18  20.640    1.000    .396
  200    7   19  20.771    1.000    .395
  201    7   20  20.951    1.000    .393
  202    7   21  20.965    1.000    .391
  203    7   22  20.946    1.000    .390
  204    7   23  20.782    1.000    .389
  205    7   24  20.596    1.000    .388
  206    7   25  20.416    1.000    .386
  207    7   26  20.297    1.000    .384
  208    7   27  20.232    1.000    .384
  209    7   28  20.206    1.000    .382
  210    7   29  20.121    1.000    .381
  211    7   30  20.094    1.000    .380
  212    7   31  20.120    1.000    .380
  213    8    1  20.100    1.000    .379
  214    8    2  20.075    1.000    .378
  215    8    3  20.079    1.000    .378
  216    8    4  19.986    1.000    .378
  217    8    5  19.964    1.000    .378
  218    8    6  19.977    1.000    .378
  219    8    7  19.974    1.000    .376
  220    8    8  20.140    1.000    .372
  221    8    9  20.297    1.000    .369
  222    8   10  20.487    1.000    .367
  223    8   11  20.473    1.000    .365
  224    8   12  20.462    1.000    .364
  225    8   13  20.556    1.000    .361
  226    8   14  20.538    1.000    .360
  227    8   15  20.373    1.000    .358
  228    8   16  20.450    1.000    .356
  229    8   17  20.443    1.000    .355
  230    8   18  20.326    1.000    .353
  231    8   19  20.296    1.000    .351
  232    8   20  20.170    1.000    .350
  233    8   21  20.004    1.000    .350
  234    8   22  20.031    1.000    .349
  235    8   23  20.116    1.000    .348
  236    8   24  20.249    1.000    .347
  237    8   25  20.308    1.000    .347
  238    8   26  20.301    1.000    .344
  239    8   27  20.218    1.000    .341
  240    8   28  20.282    1.000    .339
  241    8   29  20.326    1.000    .337
  242    8   30  20.458    1.000    .334
  243    8   31  20.314    1.000    .333
  244    9    1  20.235    1.000    .333
  245    9    2  20.531    1.000    .332
  246    9    3  20.681    1.000    .332
  247    9    4  20.625    1.000    .330
