 1
 0
        JDAY  MM  DD      TEMP    SALT JDAY=0 FOR JAN 01
      0.0000  01  01      6.10      0.27
      1.0000  01  02      6.90      0.20
      2.0000  01  03      6.10      0.24
      3.0000  01  04      3.00      0.34
      4.0000  01  05      3.50      0.40
      5.0000  01  06      6.20      0.44
      6.0000  01  07      7.50      0.39
      7.0000  01  08      7.70      0.33
      8.0000  01  09      7.60      0.19
      9.0000  01  10      6.40      0.20
     10.0000  01  11      5.50      0.22
     11.0000  01  12      5.50      0.22
     12.0000  01  13      6.10      0.22
     13.0000  01  14      7.20      0.21
     14.0000  01  15      7.00      0.21
     15.0000  01  16      6.30      0.21
     16.0000  01  17      4.10      0.26
     17.0000  01  18      3.00      0.28
     18.0000  01  19      3.50      0.33
     19.0000  01  20      2.90      0.28
     20.0000  01  21      1.10      0.28
     21.0000  01  22      1.00      0.28
     22.0000  01  23      1.60      0.27
     23.0000  01  24      1.90      0.27
     24.0000  01  25      1.80      0.27
     25.0000  01  26      0.90      0.28
     26.0000  01  27      1.10      0.28
     27.0000  01  28      2.10      0.28
     28.0000  01  29      2.60      0.25
     29.0000  01  30      2.50      0.28
     30.0000  01  31      2.10      0.27
     31.0000  02  01      3.10      0.25
     32.0000  02  02      4.00      0.22
     33.0000  02  03      3.20      0.19
     34.0000  02  04      2.30      0.22
     35.0000  02  05      2.50      0.24
     36.0000  02  06      3.70      0.25
     37.0000  02  07      4.30      0.24
     38.0000  02  08      3.70      0.24
     39.0000  02  09      3.70      0.22
     40.0000  02  10      3.60      0.22
     41.0000  02  11      2.10      0.23
     42.0000  02  12      1.60      0.26
     43.0000  02  13      0.50      0.38
     44.0000  02  14      0.80      0.35
     45.0000  02  15      1.40      0.35
     46.0000  02  16      2.00      0.31
     47.0000  02  17      2.90      0.25
     48.0000  02  18      3.30      0.29
     49.0000  02  19      3.70      0.24
     50.0000  02  20      2.10      0.29
     51.0000  02  21      1.50      0.37
     52.0000  02  22      1.20      0.38
     53.0000  02  23      2.00      0.38
     54.0000  02  24      2.10      0.32
     55.0000  02  25      2.80      0.35
     56.0000  02  26      3.30      0.32
     57.0000  02  27      4.20      0.40
     58.0000  02  28      3.90      0.28
     59.0000  02  29      2.20      0.29
     60.0000  03  01      3.60      0.30
