 1
 0
        JDAY  MM  DD      TEMP    SALT JDAY=0 FOR JAN 01
      0.0000  01  01      4.10      7.45
      1.0000  01  02      4.10      7.57
      2.0000  01  03      4.00      7.89
      3.0000  01  04      3.90      8.13
      4.0000  01  05      3.80      7.91
      5.0000  01  06      3.70      7.66
      6.0000  01  07      3.80      7.67
      7.0000  01  08      3.60      6.84
      8.0000  01  09      3.50      7.08
      9.0000  01  10      3.50      7.83
     10.0000  01  11      3.40      7.63
     11.0000  01  12      3.30      7.42
     12.0000  01  13      3.20      7.65
     13.0000  01  14      3.20      8.12
     14.0000  01  15      3.10      7.93
     15.0000  01  16      2.90      7.72
     16.0000  01  17      2.80      7.90
     17.0000  01  18      2.70      7.84
     18.0000  01  19      2.80      8.23
     19.0000  01  20      2.80      8.09
     20.0000  01  21      2.70      7.68
     21.0000  01  22      2.70      8.12
     22.0000  01  23      2.70      8.05
     23.0000  01  24      2.80      7.95
     24.0000  01  25      2.80      8.09
     25.0000  01  26      2.70      7.36
     26.0000  01  27      2.80      6.85
     27.0000  01  28      2.80      6.95
     28.0000  01  29      3.00      7.09
     29.0000  01  30      2.90      7.09
     30.0000  01  31      2.90      7.00
     31.0000  02  01      2.90      7.11
     32.0000  02  02      2.80      7.20
     33.0000  02  03      2.80      7.45
     34.0000  02  04      2.80      7.17
     35.0000  02  05      2.70      6.51
     36.0000  02  06      2.70      6.68
     37.0000  02  07      2.60      6.87
     38.0000  02  08      2.60      7.62
     39.0000  02  09      2.60      7.36
     40.0000  02  10      2.70      7.21
     41.0000  02  11      2.70      7.84
     42.0000  02  12      2.60      7.56
     43.0000  02  13      2.70      7.23
     44.0000  02  14      2.70      7.09
     45.0000  02  15      2.70      7.15
     46.0000  02  16      2.90      7.13
     47.0000  02  17      2.90      7.38
     48.0000  02  18      2.80      8.30
     49.0000  02  19      2.90      8.57
     50.0000  02  20      3.00      8.62
     51.0000  02  21      3.10      8.54
     52.0000  02  22      3.40      7.81
     53.0000  02  23      3.40      7.89
