 3
 0 10 20
        JDAY  MM  DD      TEMP    SALT JDAY=0 FOR JAN 01
     81.0000  03  22     21.77     34.20     21.10     34.30     21.00     34.40
     82.0000  03  23     21.89     34.20     21.20     34.30     21.10     34.40
     83.0000  03  24     21.86     34.30     21.40     34.40     21.30     34.50
     84.0000  03  25     21.86     34.30     21.60     34.40     21.50     34.50
     85.0000  03  26     21.57     34.30     21.70     34.40     21.60     34.50
     86.0000  03  27     21.60     34.30     21.90     34.40     21.80     34.50
     87.0000  03  28     21.83     34.30     22.00     34.40     21.90     34.50
     88.0000  03  29     21.74     34.30     22.20     34.40     22.10     34.50
     89.0000  03  30     22.11     34.30     22.40     34.40     22.30     34.50
     90.0000  03  31     22.65     34.30     22.50     34.40     22.40     34.50
     91.0000  04  01     22.91     34.30     22.70     34.40     22.60     34.50
     92.0000  04  02     23.02     34.30     22.80     34.40     22.70     34.50
     93.0000  04  03     23.10     34.30     23.00     34.40     22.90     34.50
     94.0000  04  04     23.17     34.30     23.20     34.40     23.10     34.50
     95.0000  04  05     23.28     34.30     23.30     34.40     23.20     34.50
     96.0000  04  06     23.31     34.30     23.50     34.40     23.40     34.50
     97.0000  04  07     23.08     34.30     23.60     34.40     23.50     34.50
     98.0000  04  08     23.16     34.30     23.80     34.40     23.70     34.50
     99.0000  04  09     23.17     34.40     24.00     34.50     23.90     34.60
    100.0000  04  10     23.01     34.40     24.10     34.50     24.00     34.60
    101.0000  04  11     23.10     34.40     24.30     34.50     24.20     34.60
    102.0000  04  12     23.23     34.40     24.50     34.50     24.40     34.60
    103.0000  04  13     23.36     34.40     24.60     34.50     24.50     34.60
    104.0000  04  14     23.27     34.40     24.80     34.50     24.70     34.60
    105.0000  04  15     22.91     34.40     24.90     34.50     24.80     34.60
    106.0000  04  16     22.50     34.40     25.10     34.50     25.00     34.60
    107.0000  04  17     22.24     34.40     25.20     34.50     25.10     34.60
    108.0000  04  18     22.32     34.50     25.40     34.60     25.30     34.70
    109.0000  04  19     22.76     34.50     25.50     34.60     25.40     34.70
