 1
 0
        JDAY  MM  DD      TEMP    SALT JDAY=0 FOR JAN 01
     14.0000  01  15     21.70     34.72
     45.0000  02  15     21.24     36.11
     74.0000  03  15     20.88     36.17
    105.0000  04  15     22.44     36.20
    135.0000  05  15     24.99     32.56
    166.0000  06  15     27.58     30.06
    196.0000  07  15     28.97     32.92
    227.0000  08  15     29.64     35.45
    258.0000  09  15     28.85     35.86
    288.0000  10  15     27.12     35.65
    319.0000  11  15     25.06     36.22
    349.0000  12  15     23.42     36.35
