 1
 0
        JDAY  MM  DD      TEMP    SALT JDAY=0 FOR JAN 01
     14.0000  01  15     19.07     36.29
     45.0000  02  15     15.45     35.51
     74.0000  03  15     19.55     35.76
    105.0000  04  15     21.27     35.69
    135.0000  05  15     24.76     33.95
    166.0000  06  15     27.16     34.10
    196.0000  07  15     29.07     31.70
    227.0000  08  15     29.67     32.76
    258.0000  09  15     28.11     35.38
    288.0000  10  15     25.20     35.49
    319.0000  11  15     23.58     36.01
    349.0000  12  15     22.52     36.29
