 1
 0
        JDAY  MM  DD      TEMP    SALT JDAY=0 FOR JAN 01
     14.0000  01  15     21.02     34.38
     45.0000  02  15     19.36     35.82
     74.0000  03  15     20.10     35.70
    105.0000  04  15     23.40     34.34
    135.0000  05  15     24.70     34.27
    166.0000  06  15     27.57     35.37
    196.0000  07  15     28.83     36.58
    227.0000  08  15     29.29     36.59
    258.0000  09  15     28.38     35.89
    288.0000  10  15     27.46     35.20
    319.0000  11  15     24.63     35.41
    349.0000  12  15     22.36     35.71
